l,m,C,S
28,25,1.94567609934067e-40,-2.0605292368900736e-40
28,26,3.9959812032235146e-42,2.8511470568987467e-41
28,27,-4.959978638216383e-43,2.0149882573453758e-42
28,28,5.35249298242623e-44,-8.95520208916784e-46
29,0,-4.617310584682149e-06,0.0
29,1,-6.00692290851703e-08,-1.5999739082111026e-07
29,2,-2.5327895431324833e-09,-8.806630852791076e-09
29,3,-8.352431449322061e-11,1.1099379142251338e-10
29,4,-4.430086169677151e-12,2.153455185700297e-12
29,5,1.0886025961728043e-13,9.523963470548577e-15
29,6,-2.157258153061081e-15,-3.1984463268059006e-15
29,7,-6.558795760840572e-17,-2.3009619563806514e-16
29,8,9.28763574094061e-18,-4.690910780922826e-18
29,9,4.529629520570774e-20,-4.733543450077792e-19
29,10,1.64627577206139e-20,9.047263615634133e-21
29,11,-7.06742716290055e-23,4.2294126736068475e-22
29,12,-2.281129070150447e-23,-1.7501258486459295e-23
29,13,4.736376592224449e-25,5.0279385684293305e-25
29,14,9.039835802068606e-28,4.090290711010749e-26
29,15,-3.953337030665168e-28,1.42081798288299e-28
29,16,2.1081417604326956e-29,-6.569107387362828e-30
29,17,-1.2847749861314876e-30,-9.931596938879631e-31
29,18,-1.7993447743780463e-32,-9.438292122757295e-34
29,19,6.371777945174765e-35,-4.562014031427891e-34
29,20,-2.5143048779442208e-36,1.0173151075056001e-34
29,21,7.73174461931863e-37,3.7167077257639716e-36
29,22,-1.4919401362755824e-37,-2.95183412964539e-37
29,23,5.005159621802434e-39,1.0685480894112216e-38
29,24,2.957616088917227e-41,6.86828907140663e-41
29,25,-1.571371625116488e-41,2.492164819084812e-41
29,26,1.992183014918099e-42,-2.929139219467512e-42
29,27,1.182748432732002e-43,1.1036741469735137e-43
29,28,-6.329937772825762e-45,1.3428124140041495e-44
29,29,1.3143423088630915e-45,-1.0196498786986644e-45
30,0,8.102048756137139e-07,0.0
30,1,-1.0590017574564602e-07,-1.0980063800840238e-09
30,2,-2.5667633913340628e-09,-2.7876711765997935e-09
30,3,-1.4194794179419982e-10,1.37288907230214e-10
30,4,-8.408097401330038e-13,-2.8210351052733647e-12
30,5,7.95129666892521e-14,-1.3505444755145644e-13
30,6,3.753721065558566e-16,4.9610572073564055e-15
30,7,-1.63621525769275e-16,-1.4595525208460367e-16
30,8,-6.232676425051194e-18,-5.487603366789607e-18
30,9,-1.4885636910013223e-19,2.6757361945391623e-20
30,10,-2.2120748250151445e-21,-1.9013496312054803e-21
30,11,5.853410298749993e-24,-1.575922053345484e-22
